movie_id,actor_id,role
1,1,Lead Cast
1,2,Lead Cast
1,3,Lead Cast
1,4,Lead Cast
2,2,Lead Cast
2,5,Lead Cast
2,6,Lead Cast
2,3,Lead Cast
3,2,Lead Cast
3,7,Lead Cast
3,6,Lead Cast
3,8,Lead Cast
4,5,Lead Cast
4,9,Lead Cast
4,3,Lead Cast
4,10,Lead Cast
5,11,Lead Cast
5,3,Lead Cast
5,12,Lead Cast
5,4,Lead Cast
6,13,Lead Cast
6,14,Lead Cast
6,15,Lead Cast
6,16,Lead Cast
7,7,Lead Cast
7,1,Lead Cast
7,4,Lead Cast
7,14,Lead Cast
8,13,Lead Cast
8,4,Lead Cast
8,15,Lead Cast
8,1,Lead Cast
9,7,Lead Cast
9,17,Lead Cast
9,4,Lead Cast
9,18,Lead Cast
10,12,Lead Cast
10,7,Lead Cast
10,16,Lead Cast
10,6,Lead Cast
11,3,Lead Cast
11,2,Lead Cast
11,13,Lead Cast
11,5,Lead Cast
12,13,Lead Cast
12,18,Lead Cast
12,8,Lead Cast
12,17,Lead Cast
13,11,Lead Cast
13,6,Lead Cast
13,14,Lead Cast
13,10,Lead Cast
14,18,Lead Cast
14,6,Lead Cast
14,16,Lead Cast
14,12,Lead Cast
15,9,Lead Cast
15,4,Lead Cast
15,14,Lead Cast
15,19,Lead Cast
16,14,Lead Cast
16,13,Lead Cast
16,5,Lead Cast
16,3,Lead Cast
17,6,Lead Cast
17,18,Lead Cast
17,15,Lead Cast
17,16,Lead Cast
18,19,Lead Cast
18,5,Lead Cast
18,2,Lead Cast
18,15,Lead Cast
19,17,Lead Cast
19,10,Lead Cast
19,19,Lead Cast
19,16,Lead Cast
20,10,Lead Cast
20,17,Lead Cast
20,3,Lead Cast
20,16,Lead Cast
21,14,Lead Cast
21,18,Lead Cast
21,15,Lead Cast
21,6,Lead Cast
22,4,Lead Cast
22,19,Lead Cast
22,17,Lead Cast
22,13,Lead Cast
23,1,Lead Cast
23,19,Lead Cast
23,10,Lead Cast
23,20,Lead Cast
24,16,Lead Cast
24,13,Lead Cast
24,5,Lead Cast
24,4,Lead Cast
25,15,Lead Cast
25,18,Lead Cast
25,2,Lead Cast
25,20,Lead Cast
26,16,Lead Cast
26,3,Lead Cast
26,11,Lead Cast
26,20,Lead Cast
27,19,Lead Cast
27,1,Lead Cast
27,5,Lead Cast
27,7,Lead Cast
28,15,Lead Cast
28,14,Lead Cast
28,11,Lead Cast
28,17,Lead Cast
29,20,Lead Cast
29,7,Lead Cast
29,5,Lead Cast
29,14,Lead Cast
30,19,Lead Cast
30,20,Lead Cast
30,14,Lead Cast
30,17,Lead Cast
31,13,Lead Cast
31,14,Lead Cast
31,17,Lead Cast
31,7,Lead Cast
32,17,Lead Cast
32,7,Lead Cast
32,20,Lead Cast
32,3,Lead Cast
33,11,Lead Cast
33,14,Lead Cast
33,3,Lead Cast
33,8,Lead Cast
34,9,Lead Cast
34,18,Lead Cast
34,14,Lead Cast
34,7,Lead Cast
35,5,Lead Cast
35,15,Lead Cast
35,6,Lead Cast
35,14,Lead Cast
36,13,Lead Cast
36,12,Lead Cast
36,14,Lead Cast
36,16,Lead Cast
37,9,Lead Cast
37,11,Lead Cast
37,7,Lead Cast
37,19,Lead Cast
38,18,Lead Cast
38,20,Lead Cast
38,17,Lead Cast
38,19,Lead Cast
39,4,Lead Cast
39,2,Lead Cast
39,11,Lead Cast
39,19,Lead Cast
40,8,Lead Cast
40,11,Lead Cast
40,12,Lead Cast
40,1,Lead Cast
41,2,Lead Cast
41,16,Lead Cast
41,12,Lead Cast
41,4,Lead Cast
42,14,Lead Cast
42,18,Lead Cast
42,10,Lead Cast
42,9,Lead Cast
43,18,Lead Cast
43,3,Lead Cast
43,1,Lead Cast
43,2,Lead Cast
44,16,Lead Cast
44,19,Lead Cast
44,13,Lead Cast
44,20,Lead Cast
45,15,Lead Cast
45,20,Lead Cast
45,17,Lead Cast
45,13,Lead Cast
46,14,Lead Cast
46,19,Lead Cast
46,7,Lead Cast
46,3,Lead Cast
47,12,Lead Cast
47,11,Lead Cast
47,16,Lead Cast
47,3,Lead Cast
48,3,Lead Cast
48,5,Lead Cast
48,19,Lead Cast
48,1,Lead Cast
49,3,Lead Cast
49,12,Lead Cast
49,7,Lead Cast
49,2,Lead Cast
50,11,Lead Cast
50,7,Lead Cast
50,9,Lead Cast
50,3,Lead Cast
51,17,Lead Cast
51,19,Lead Cast
51,5,Lead Cast
51,7,Lead Cast
52,15,Lead Cast
52,17,Lead Cast
52,5,Lead Cast
52,3,Lead Cast
53,13,Lead Cast
53,14,Lead Cast
53,5,Lead Cast
53,15,Lead Cast
54,19,Lead Cast
54,20,Lead Cast
54,14,Lead Cast
54,18,Lead Cast
55,13,Lead Cast
55,6,Lead Cast
55,14,Lead Cast
55,5,Lead Cast
56,20,Lead Cast
56,1,Lead Cast
56,16,Lead Cast
56,19,Lead Cast
57,2,Lead Cast
57,4,Lead Cast
57,6,Lead Cast
57,18,Lead Cast
58,15,Lead Cast
58,17,Lead Cast
58,13,Lead Cast
58,5,Lead Cast
59,14,Lead Cast
59,3,Lead Cast
59,15,Lead Cast
59,5,Lead Cast
60,10,Lead Cast
60,14,Lead Cast
60,1,Lead Cast
60,8,Lead Cast
61,5,Lead Cast
61,1,Lead Cast
61,10,Lead Cast
61,8,Lead Cast
62,15,Lead Cast
62,2,Lead Cast
62,7,Lead Cast
62,5,Lead Cast
63,9,Lead Cast
63,4,Lead Cast
63,15,Lead Cast
63,3,Lead Cast
64,7,Lead Cast
64,15,Lead Cast
64,20,Lead Cast
64,13,Lead Cast
65,3,Lead Cast
65,11,Lead Cast
65,13,Lead Cast
65,8,Lead Cast
66,1,Lead Cast
66,17,Lead Cast
66,20,Lead Cast
66,16,Lead Cast
67,16,Lead Cast
67,1,Lead Cast
67,18,Lead Cast
67,12,Lead Cast
68,20,Lead Cast
68,18,Lead Cast
68,6,Lead Cast
68,5,Lead Cast
69,2,Lead Cast
69,14,Lead Cast
69,8,Lead Cast
69,3,Lead Cast
70,7,Lead Cast
70,8,Lead Cast
70,19,Lead Cast
70,11,Lead Cast
71,18,Lead Cast
71,3,Lead Cast
71,9,Lead Cast
71,16,Lead Cast
72,4,Lead Cast
72,20,Lead Cast
72,8,Lead Cast
72,6,Lead Cast
73,14,Lead Cast
73,2,Lead Cast
73,15,Lead Cast
73,17,Lead Cast
74,11,Lead Cast
74,16,Lead Cast
74,19,Lead Cast
74,2,Lead Cast
75,15,Lead Cast
75,17,Lead Cast
75,10,Lead Cast
75,16,Lead Cast
76,13,Lead Cast
76,7,Lead Cast
76,8,Lead Cast
76,18,Lead Cast
77,20,Lead Cast
77,15,Lead Cast
77,14,Lead Cast
77,6,Lead Cast
78,19,Lead Cast
78,9,Lead Cast
78,6,Lead Cast
78,11,Lead Cast
79,17,Lead Cast
79,10,Lead Cast
79,3,Lead Cast
79,5,Lead Cast
80,12,Lead Cast
80,18,Lead Cast
80,11,Lead Cast
80,15,Lead Cast
81,18,Lead Cast
81,11,Lead Cast
81,20,Lead Cast
81,16,Lead Cast
82,8,Lead Cast
82,4,Lead Cast
82,12,Lead Cast
82,10,Lead Cast
83,16,Lead Cast
83,8,Lead Cast
83,4,Lead Cast
83,20,Lead Cast
84,10,Lead Cast
84,3,Lead Cast
84,9,Lead Cast
84,18,Lead Cast
85,17,Lead Cast
85,11,Lead Cast
85,4,Lead Cast
85,1,Lead Cast
86,8,Lead Cast
86,9,Lead Cast
86,4,Lead Cast
86,13,Lead Cast
87,1,Lead Cast
87,8,Lead Cast
87,17,Lead Cast
87,12,Lead Cast
88,6,Lead Cast
88,17,Lead Cast
88,8,Lead Cast
88,20,Lead Cast
89,15,Lead Cast
89,19,Lead Cast
89,6,Lead Cast
89,7,Lead Cast
90,12,Lead Cast
90,1,Lead Cast
90,8,Lead Cast
90,7,Lead Cast
91,17,Lead Cast
91,10,Lead Cast
91,7,Lead Cast
91,14,Lead Cast
92,17,Lead Cast
92,8,Lead Cast
92,16,Lead Cast
92,3,Lead Cast
93,8,Lead Cast
93,2,Lead Cast
93,16,Lead Cast
93,6,Lead Cast
94,4,Lead Cast
94,18,Lead Cast
94,16,Lead Cast
94,14,Lead Cast
95,4,Lead Cast
95,6,Lead Cast
95,14,Lead Cast
95,20,Lead Cast
96,14,Lead Cast
96,13,Lead Cast
96,19,Lead Cast
96,4,Lead Cast
97,17,Lead Cast
97,10,Lead Cast
97,3,Lead Cast
97,2,Lead Cast
98,13,Lead Cast
98,3,Lead Cast
98,9,Lead Cast
98,12,Lead Cast
99,17,Lead Cast
99,20,Lead Cast
99,19,Lead Cast
99,2,Lead Cast
100,17,Lead Cast
100,16,Lead Cast
100,7,Lead Cast
100,2,Lead Cast
101,20,Lead Cast
101,15,Lead Cast
101,8,Lead Cast
101,18,Lead Cast
102,2,Lead Cast
102,4,Lead Cast
102,7,Lead Cast
102,19,Lead Cast
103,15,Lead Cast
103,10,Lead Cast
103,11,Lead Cast
103,3,Lead Cast
104,1,Lead Cast
104,14,Lead Cast
104,6,Lead Cast
104,20,Lead Cast
105,11,Lead Cast
105,18,Lead Cast
105,16,Lead Cast
105,5,Lead Cast
106,19,Lead Cast
106,15,Lead Cast
106,10,Lead Cast
106,6,Lead Cast
107,13,Lead Cast
